age,gender,occupation,education_level,device_type,daily_usage_hours,template
23,Male,Engineer,Bachelor,Mobile,6.6,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Client Demo"", ""Completed"", ""Low"", ""2025-11-23""], [""Code Review"", ""In Progress"", ""Low"", ""2025-11-12""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Workout"", ""done"": false}, {""task"": ""Workout"", ""done"": false}, {""task"": ""Read Book"", ""done"": true}, {""task"": ""Call Family"", ""done"": false}]}]"
42,Male,Researcher,PhD,Tablet,4.6,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Code Review"", ""Completed"", ""Medium"", ""2025-11-14""], [""Code Review"", ""In Progress"", ""High"", ""2025-11-11""]]}]"
52,Female,Researcher,PhD,Tablet,3.7,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Client Demo"", ""Completed"", ""Medium"", ""2025-11-24""], [""Team Meeting"", ""Completed"", ""Medium"", ""2025-11-21""], [""Code Review"", ""Completed"", ""Medium"", ""2025-11-11""]]}]"
24,Male,Analyst,Bachelor,Mobile,8.6,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Team Meeting"", ""In Progress"", ""Medium"", ""2025-11-22""], [""Client Demo"", ""In Progress"", ""Low"", ""2025-11-28""], [""Code Review"", ""In Progress"", ""High"", ""2025-11-22""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Workout"", ""done"": false}, {""task"": ""Read Book"", ""done"": false}]}]"
44,Other,Professor,PhD,Desktop,3.1,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Team Meeting"", ""Completed"", ""Low"", ""2025-11-17""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Workout"", ""done"": true}, {""task"": ""Meditation"", ""done"": true}]}]"
25,Female,Designer,Bachelor,Mobile,6.0,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""In Progress"", ""Medium"", ""2025-11-23""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Workout"", ""done"": false}]}]"
53,Female,Consultant,PhD,Tablet,3.8,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Code Review"", ""Completed"", ""High"", ""2025-11-13""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Meditation"", ""done"": false}, {""task"": ""Call Family"", ""done"": true}, {""task"": ""Read Book"", ""done"": true}, {""task"": ""Call Family"", ""done"": true}, {""task"": ""Workout"", ""done"": true}]}]"
26,Female,Manager,Master,Laptop,5.4,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""Completed"", ""High"", ""2025-11-26""], [""Client Demo"", ""Completed"", ""Medium"", ""2025-11-25""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": false}, {""task"": ""Workout"", ""done"": false}]}]"
22,Other,Analyst,Bachelor,Laptop,7.6,"[{""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Read Book"", ""done"": false}, {""task"": ""Read Book"", ""done"": false}]}]"
29,Other,Doctor,Master,Laptop,4.6,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Code Review"", ""In Progress"", ""Low"", ""2025-11-14""], [""Report Writing"", ""In Progress"", ""Medium"", ""2025-11-28""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Workout"", ""done"": true}, {""task"": ""Meditation"", ""done"": false}, {""task"": ""Workout"", ""done"": true}]}]"
21,Other,Engineer,Bachelor,Laptop,6.4,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Client Demo"", ""In Progress"", ""Medium"", ""2025-11-24""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Meditation"", ""done"": true}, {""task"": ""Read Book"", ""done"": false}, {""task"": ""Meditation"", ""done"": false}]}]"
53,Male,Professor,PhD,Desktop,4.6,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Team Meeting"", ""In Progress"", ""Low"", ""2025-11-30""], [""Client Demo"", ""In Progress"", ""Medium"", ""2025-11-25""], [""Client Demo"", ""In Progress"", ""Low"", ""2025-11-20""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Meditation"", ""done"": false}, {""task"": ""Read Book"", ""done"": true}, {""task"": ""Call Family"", ""done"": false}, {""task"": ""Read Book"", ""done"": true}, {""task"": ""Call Family"", ""done"": false}]}]"
29,Female,Chef,Master,Laptop,5.3,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Client Demo"", ""Completed"", ""Low"", ""2025-11-20""], [""Code Review"", ""In Progress"", ""Medium"", ""2025-11-20""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Call Family"", ""done"": false}, {""task"": ""Grocery Shopping"", ""done"": false}]}]"
23,Other,Analyst,Bachelor,Laptop,8.5,"[{""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Read Book"", ""done"": false}, {""task"": ""Read Book"", ""done"": false}, {""task"": ""Workout"", ""done"": true}]}]"
26,Other,Chef,Master,Desktop,4.5,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""In Progress"", ""Medium"", ""2025-11-27""], [""Client Demo"", ""In Progress"", ""High"", ""2025-11-14""], [""Code Review"", ""Completed"", ""High"", ""2025-11-23""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": false}, {""task"": ""Call Family"", ""done"": false}, {""task"": ""Read Book"", ""done"": false}, {""task"": ""Read Book"", ""done"": true}]}]"
48,Male,Officer,PhD,Desktop,3.7,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Code Review"", ""In Progress"", ""High"", ""2025-11-30""], [""Client Demo"", ""Completed"", ""Low"", ""2025-11-15""]]}]"
38,Female,Teacher,Master,Desktop,6.3,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""In Progress"", ""High"", ""2025-11-12""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Workout"", ""done"": false}, {""task"": ""Read Book"", ""done"": true}, {""task"": ""Workout"", ""done"": true}]}]"
53,Female,Consultant,PhD,Tablet,3.0,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Team Meeting"", ""In Progress"", ""Low"", ""2025-11-25""], [""Client Demo"", ""Completed"", ""High"", ""2025-11-11""], [""Report Writing"", ""Completed"", ""Low"", ""2025-11-18""]]}]"
19,Male,Engineer,Bachelor,Laptop,6.4,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""Completed"", ""Medium"", ""2025-11-16""]]}]"
20,Other,Analyst,Bachelor,Mobile,6.1,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""Completed"", ""Low"", ""2025-11-13""], [""Team Meeting"", ""In Progress"", ""Low"", ""2025-11-12""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Grocery Shopping"", ""done"": false}, {""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Grocery Shopping"", ""done"": false}]}]"
36,Other,Chef,Master,Tablet,6.2,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""Completed"", ""High"", ""2025-11-26""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Read Book"", ""done"": false}, {""task"": ""Read Book"", ""done"": true}]}]"
61,Male,Officer,PhD,Desktop,5.2,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Team Meeting"", ""Completed"", ""High"", ""2025-11-19""], [""Client Demo"", ""Completed"", ""High"", ""2025-11-14""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Read Book"", ""done"": false}, {""task"": ""Grocery Shopping"", ""done"": false}, {""task"": ""Read Book"", ""done"": false}, {""task"": ""Read Book"", ""done"": true}, {""task"": ""Workout"", ""done"": true}]}]"
55,Other,Professor,PhD,Tablet,4.0,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Code Review"", ""In Progress"", ""Low"", ""2025-11-19""], [""Report Writing"", ""Completed"", ""Medium"", ""2025-11-24""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": false}, {""task"": ""Workout"", ""done"": true}, {""task"": ""Call Family"", ""done"": true}, {""task"": ""Workout"", ""done"": false}]}]"
16,Male,Student,High School,Laptop,8.2,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Team Meeting"", ""In Progress"", ""Low"", ""2025-11-18""], [""Report Writing"", ""Completed"", ""Medium"", ""2025-11-23""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Meditation"", ""done"": true}, {""task"": ""Workout"", ""done"": true}]}]"
60,Female,Officer,PhD,Tablet,5.9,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Code Review"", ""In Progress"", ""Medium"", ""2025-11-30""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Meditation"", ""done"": false}, {""task"": ""Workout"", ""done"": true}]}]"
28,Male,Teacher,Master,Tablet,6.8,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Client Demo"", ""In Progress"", ""High"", ""2025-11-16""]]}]"
33,Female,Doctor,Master,Laptop,6.2,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Code Review"", ""Completed"", ""Low"", ""2025-11-21""]]}]"
27,Male,Doctor,Master,Laptop,4.5,"[{""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Meditation"", ""done"": false}, {""task"": ""Meditation"", ""done"": true}, {""task"": ""Meditation"", ""done"": true}, {""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Meditation"", ""done"": true}]}]"
19,Other,Analyst,Bachelor,Laptop,6.5,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Team Meeting"", ""In Progress"", ""Low"", ""2025-11-25""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Meditation"", ""done"": false}, {""task"": ""Read Book"", ""done"": false}, {""task"": ""Meditation"", ""done"": true}, {""task"": ""Read Book"", ""done"": false}]}]"
44,Other,Researcher,PhD,Desktop,5.0,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""Completed"", ""Medium"", ""2025-11-19""], [""Team Meeting"", ""In Progress"", ""Medium"", ""2025-11-10""], [""Code Review"", ""Completed"", ""Medium"", ""2025-11-22""]]}]"
48,Female,Professor,PhD,Tablet,4.0,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Report Writing"", ""Completed"", ""Low"", ""2025-11-26""], [""Code Review"", ""In Progress"", ""Medium"", ""2025-11-13""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Workout"", ""done"": false}, {""task"": ""Meditation"", ""done"": true}, {""task"": ""Meditation"", ""done"": true}]}]"
46,Male,Officer,PhD,Desktop,3.8,"[{""name"": ""Work Tasks"", ""type"": ""table"", ""columns"": [{""name"": ""Task"", ""type"": ""text""}, {""name"": ""Status"", ""type"": ""options"", ""options"": [""In Progress"", ""Completed""]}, {""name"": ""Priority"", ""type"": ""options"", ""options"": [""High"", ""Medium"", ""Low""]}, {""name"": ""Due Date"", ""type"": ""date""}], ""values"": [[""Client Demo"", ""In Progress"", ""Medium"", ""2025-11-29""], [""Code Review"", ""In Progress"", ""Medium"", ""2025-11-17""], [""Report Writing"", ""Completed"", ""Low"", ""2025-11-16""]]}, {""name"": ""Personal To-Do"", ""type"": ""todolist"", ""items"": [{""task"": ""Read Book"", ""done"": false}, {""task"": ""Workout"", ""done"": false}, {""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Grocery Shopping"", ""done"": true}, {""task"": ""Workout"", ""done"": false}]}]"
